Hi everyone.	Chào mọi người.
It is nothing but the implementation of the reactor stream's specification which is nothing but the publisher subscriber subscription and processor.	Nó không là gì ngoài việc triển khai đặc điểm kỹ thuật của dòng lò phản ứng, không gì khác ngoài việc đăng ký và bộ xử lý của nhà xuất bản.
So what are the reactor libraries that we have today.	Vậy các thư viện lò phản ứng mà chúng ta có ngày nay là gì.
We have ordered the Java reactor and dedicate itself as the flow class which includes the reactor stream's specification.	Chúng tôi đã đặt hàng lò phản ứng Java và tự cung cấp nó làm lớp luồng bao gồm đặc điểm kỹ thuật của luồng lò phản ứng.
So all of all these options.	Vì vậy, tất cả các tùy chọn này.
What is a library that we are going to use for this course.	Thư viện mà chúng tôi sẽ sử dụng cho khóa học này là gì.
OK. We are going to use the reactor which is nothing but project reactor project.	ĐỒNG Ý. Chúng tôi sẽ sử dụng lò phản ứng không là gì ngoài dự án lò phản ứng dự án.
Reactor is built and maintained by pivotal basically the team behind the spring and Springboard Project reactor is a default library that comes with springboard for writing reactor programming code or building non blocking RESTful API ice in spring.	Lò phản ứng được xây dựng và duy trì bởi pivotal về cơ bản, nhóm đằng sau lò xo và lò phản ứng Springboard Project là một thư viện mặc định đi kèm với bàn đạp để viết mã lập trình lò phản ứng hoặc xây dựng băng RESTful API không chặn vào mùa xuân.
Let's go ahead and check what do we have in Project reactor.	Hãy tiếp tục và kiểm tra xem chúng ta có gì trong lò phản ứng Dự án.
So I'm going to go to Google and then search for Project reactor so there's a link click on the spot link.	Vì vậy, tôi sẽ truy cập Google và sau đó tìm kiếm lò phản ứng Dự án để có một liên kết nhấp vào liên kết tại chỗ.
So this is the home page for the project reactor.	Vì vậy, đây là trang chủ của lò phản ứng dự án.
Let's look at some of the things that are highlighted here reactor as a fourth generation reactor library far building non blocking applications on the JVM based on the reactive streams specification and they have the reactor core reactor as a fully non blocking Foundation that a efficient demand management it directly interacts with a general functionally API computable futures stream and duration.	Chúng ta hãy xem xét một số điều được đánh dấu ở đây lò phản ứng như là một thư viện lò phản ứng thế hệ thứ tư xây dựng các ứng dụng không chặn trên JVM dựa trên đặc điểm kỹ thuật của các luồng phản ứng và chúng có lò phản ứng lõi của lò phản ứng như một Nền tảng hoàn toàn không chặn giúp quản lý nhu cầu hiệu quả nó tương tác trực tiếp với luồng và thời lượng tương lai có thể tính toán được về mặt chức năng API.
We'll be exploring examples on all of these in the future part of the course and the next important thing is type sequences they have flux and mono.	Chúng ta sẽ khám phá các ví dụ về tất cả những thứ này trong phần tương lai của khóa học và điều quan trọng tiếp theo là loại trình tự chúng có thông lượng và đơn âm.
These two are the fundamental thing which we need if we are going to work with Project reactor.	Hai thứ này là những thứ cơ bản mà chúng ta cần nếu chúng ta định làm việc với lò phản ứng Dự án.
We'll be exploring that also in the future part of the course non blocking Io.	Chúng tôi sẽ khám phá điều đó trong phần tương lai của khóa học không chặn Io.
This is perfectly suited for micro services architecture reactor offers back pressure radio network engines for HDP we'll be exploring that also in the future part of the course if we go a little bit down.	Điều này hoàn toàn phù hợp với kiến ​​trúc dịch vụ vi mô, lò phản ứng cung cấp các công cụ mạng vô tuyến áp lực ngược cho HDP, chúng tôi sẽ khám phá điều đó trong phần tương lai của khóa học nếu chúng ta đi xuống một chút.
Yeah you can read through all these things and have a very good documentation.	Vâng, bạn có thể đọc qua tất cả những điều này và có một tài liệu rất tốt.
Let's click on this reference guide.	Hãy nhấp vào hướng dẫn tham khảo này.
If we go to the reference guide this reference guide is very neatly documented and if you want to know anything about Project reactor this is the place to go and the documentation is very well boys.	Nếu chúng ta đi đến hướng dẫn tham khảo, hướng dẫn tham khảo này được tài liệu rất gọn gàng và nếu bạn muốn biết bất cứ điều gì về lò phản ứng Dự án thì đây là nơi để đến và tài liệu rất tốt.
And it covers a lot of areas that are needed in order to get yourself more comfortable with the project reactor and to have a active community also if you want to just if you want to just connect to the community you just go to this link and then add your soul to this group.	Và nó bao gồm rất nhiều lĩnh vực cần thiết để giúp bản thân bạn thoải mái hơn với lò phản ứng của dự án và để có một cộng đồng tích cực nếu bạn muốn, nếu bạn chỉ muốn kết nối với cộng đồng, bạn chỉ cần truy cập liên kết này và sau đó thêm linh hồn của bạn vào nhóm này.
So this is one of the community where if we have any doors or something you can reach out to this community they will help you out.	Vì vậy, đây là một trong những cộng đồng mà nếu chúng tôi có bất kỳ cánh cửa nào hoặc điều gì đó bạn có thể liên hệ với cộng đồng này, họ sẽ giúp bạn.
So we'll be exploring most of the content that is there in this speech in the next section but this we came to the end of this tutorial.Thank you for watching.	Vì vậy, chúng tôi sẽ khám phá hầu hết nội dung có trong bài phát biểu này trong phần tiếp theo nhưng chúng tôi đã đến phần cuối của hướng dẫn này. Cảm ơn bạn đã xem.
